"key","context","en","zh-CN","zh-TW","status"
"table.selfTurnActions","Accessible self-turn action bar label","Self-turn actions","自家回合操作","自家回合操作","ai_draft"
"table.respondTile","Accessible claim action bar label","Respond to the tile in play","回应待处理的牌","回應待處理的牌","ai_draft"
"table.drawing","Draw request progress","Drawing your tile…","正在摸牌…","正在摸牌…","ai_draft"
"table.practiceFirstStep","Tutorial draw prompt","Practice the first step of your turn","练习回合的第一步","練習回合的第一步","ai_draft"
"table.autoDraw","Automatic draw status","Your tile will draw automatically","将自动为你摸牌","將自動為你摸牌","ai_draft"
"table.drawNow","Manual draw action","Draw now","立即摸牌","立即摸牌","ai_draft"
"table.yourFlowers","Accessible local exposed bonus tiles","Your exposed Flowers and Seasons","你明示的花牌和季节牌","你明示的花牌和季節牌","ai_draft"
"table.opponentFlowers","Accessible opponent exposed bonus tiles","Opponent exposed Flowers and Seasons","对手明示的花牌和季节牌","對手明示的花牌和季節牌","ai_draft"
"table.yourFlowerBonus","Matching Flower bonus tooltip","{tile} — your Flower, +1 Tai","{tile}——你的花牌，+1 台","{tile}——你的花牌，+1 台","ai_draft"
"table.discards","Accessible discard list label","Discards","弃牌","棄牌","ai_draft"
"table.yourDiscardRiver","Accessible local discard river","Your discard river","你的牌河","你的牌河","ai_draft"
"table.opponentDiscardRiver","Accessible opponent discard river","{player} · {wind} discard river","{player} · {wind}家的牌河","{player} · {wind}家的牌河","ai_draft"
"table.winningDiscard","Accessible winning discard label","Winning discard: {tile}, from {source}","胡牌弃牌：{tile}，来自 {source}","胡牌棄牌：{tile}，來自 {source}","ai_draft"
"table.selfDrawWinningTile","Accessible self-drawn winning tile label","Self-drawn winning tile: {tile}","自摸胡牌张：{tile}","自摸胡牌張：{tile}","ai_draft"
"table.yourWinningHand","Accessible local revealed winning hand","Your winning hand","你的获胜手牌","你的獲勝手牌","ai_draft"
"table.opponentWinningHand","Accessible opponent revealed winning hand","{wind} winning hand","{wind}家的获胜手牌","{wind}家的獲勝手牌","ai_draft"
"table.handSortControl","Accessible hand sort toggle","Hand sort: {mode}. Activate to change.","手牌排序：{mode}。启用以更改。","手牌排序：{mode}。啟用以變更。","ai_draft"
"table.fxState","Accessible table effects toggle","Table sounds and haptics {state}","牌桌音效和触觉反馈：{state}","牌桌音效和觸覺回饋：{state}","ai_draft"
"table.on","Enabled toggle state","on","开启","開啟","ai_draft"
"table.off","Disabled toggle state","off","关闭","關閉","ai_draft"
"table.fxVisible","Visible table effects toggle label","FX {state}","效果{state}","效果{state}","ai_draft"
"table.selectedDiscard","Selected tile discard instruction","{tile} selected. Select again to discard.","已选择 {tile}。再次选择即可打出。","已選擇 {tile}。再次選擇即可打出。","ai_draft"
"table.selected","Selected tile state","{tile} selected.","已选择 {tile}。","已選擇 {tile}。","ai_draft"
"table.inspectDiscard","Tile inspection and discard instruction","Inspect {tile}. Activate twice to discard.","查看 {tile}。启用两次即可打出。","查看 {tile}。啟用兩次即可打出。","ai_draft"
"table.inspect","Tile inspection instruction","Inspect {tile}.","查看 {tile}。","查看 {tile}。","ai_draft"
"table.newlyDrawn","Newly drawn tile accessible suffix"," Newly drawn."," 刚摸到。"," 剛摸到。","ai_draft"
"progression.label","Progression screen category","Progression","成长进度","成長進度","ai_draft"
"progression.level","Progression screen level heading","Level {level}","等级 {level}","等級 {level}","ai_draft"
"progression.xpEarned","Lifetime experience total","{xp} XP earned","已获得 {xp} 经验值","已獲得 {xp} 經驗值","ai_draft"
"progression.maximumLevel","Maximum progression level suffix","maximum level","最高等级","最高等級","ai_draft"
"progression.toNextLevel","Experience required for next level","{current} / {needed} to level {level}","升级到等级 {level}：{current} / {needed}","升級到等級 {level}：{current} / {needed}","ai_draft"
"progression.back","Close progression screen","Back","返回","返回","ai_draft"
"progression.note","Progression fairness explanation","Levels and achievements advance only through Online Play. Solo Practice is progression-neutral. XP never changes matchmaking or table access.","等级和成就只会通过在线对局推进。单人练习不会影响成长进度。经验值绝不会改变匹配或牌桌进入权限。","等級和成就只會透過線上對局推進。單人練習不會影響成長進度。經驗值絕不會改變配對或牌桌進入權限。","ai_draft"
"progression.goalsRewards","Achievement entry eyebrow","Goals and rewards","目标与奖励","目標與獎勵","ai_draft"
"progression.achievements","Achievements screen title","Achievements","成就","成就","ai_draft"
"progression.viewAll","Open achievement catalog action","View all 32","查看全部 32 项","查看全部 32 項","ai_draft"
"progression.levelProgress","Accessible progression bar label","Level {level} progress","等级 {level} 进度","等級 {level} 進度","ai_draft"
"progression.tutorialCompleted","Completed tutorial progression state","Tutorial: Completed","教程：已完成","教學：已完成","ai_draft"
"progression.tutorialSkipped","Skipped tutorial progression state","Tutorial: Skipped — replay it any time","教程：已跳过——可随时重玩","教學：已跳過——可隨時重玩","ai_draft"
"progression.earnedRewards","Earned cosmetic rewards heading","Earned rewards","已获得的奖励","已獲得的獎勵","ai_draft"
"progression.firstReward","Empty earned rewards message","Your first cosmetic reward arrives at level 2.","你的首个外观奖励将在等级 2 解锁。","你的首個外觀獎勵將在等級 2 解鎖。","ai_draft"
"progression.kindTitle","Progression reward kind","Title","称号","稱號","ai_draft"
"progression.kindTableTheme","Progression reward kind","Table theme","牌桌主题","牌桌主題","ai_draft"
"progression.kindTileSkin","Progression reward kind","Tile skin","麻将牌外观","麻將牌外觀","ai_draft"
"progression.kindAvatarFrame","Progression reward kind","Avatar frame","头像框","頭像框","ai_draft"
"progression.rewardLevel","Reward type and earned level","{kind} · Level {level}","{kind} · 等级 {level}","{kind} · 等級 {level}","ai_draft"
"progression.levelCurve","Progression curve heading","Level curve","等级曲线","等級曲線","ai_draft"
"progression.lifetimeRequired","Progression curve XP column","Lifetime XP required","所需累计经验值","所需累計經驗值","ai_draft"
"progression.curveUnavailable","Missing progression curve message","The reward curve is unavailable right now.","奖励曲线目前不可用。","獎勵曲線目前無法使用。","ai_draft"
"progression.current","Current progression level state","Current","当前","目前","ai_draft"
"progression.reached","Reached progression level state","Reached","已达到","已達到","ai_draft"
"progression.locked","Locked progression level state","Locked","未解锁","未解鎖","ai_draft"
"progression.accessibility","Accessibility content progression note","High Contrast tiles are accessibility content, not a reward — they are available from level 1.","高对比度麻将牌属于无障碍内容，并非奖励——从等级 1 起即可使用。","高對比度麻將牌屬於無障礙內容，並非獎勵——從等級 1 起即可使用。","ai_draft"
"achievement.unlocked","Unlocked achievement status","Unlocked","已解锁","已解鎖","ai_draft"
"achievement.processing","Achievement unlock processing status","Unlock processing","正在处理解锁","正在處理解鎖","ai_draft"
"achievement.inProgress","Achievement progress status","In progress","进行中","進行中","ai_draft"
"achievement.progressLabel","Accessible achievement progress label","{name} progress","{name} 进度","{name} 進度","ai_draft"
"achievement.bonus","Achievement bonus reward","Bonus: {reward}","额外奖励：{reward}","額外獎勵：{reward}","ai_draft"
"achievement.unavailable","Unavailable achievement status","Unavailable","不可用","無法使用","ai_draft"
"achievement.goal","Unavailable achievement goal","Goal: {goal}","目标：{goal}","目標：{goal}","ai_draft"
"achievement.defaultUnavailable","Fallback unavailable-achievement explanation","This achievement is not available yet.","此成就尚未开放。","此成就尚未開放。","ai_draft"
"achievement.description","Achievement catalog explanation","Public-table goals, tracked by your account.","公开牌桌目标，由你的账号记录。","公開牌桌目標，由你的帳號記錄。","ai_draft"
"achievement.back","Return from achievements to progression","Back to Progress","返回成长进度","返回成長進度","ai_draft"
"achievement.summaryLabel","Accessible achievement summary label","Achievement summary","成就摘要","成就摘要","ai_draft"
"achievement.available","Available achievement count label","Available","可用","可用","ai_draft"
"achievement.launchGoals","Total launch achievement count label","Launch goals","首发目标","首發目標","ai_draft"
"achievement.note","Achievement eligibility explanation","Only completed Online Play hands advance levels and achievements. Solo Practice does not.","只有完成在线对局才会推进等级和成就；单人练习不会。","只有完成線上對局才會推進等級和成就；單人練習不會。","ai_draft"
"achievement.alphaRecognition","Persistent Alpha achievement category","Persistent Alpha recognition","永久 Alpha 纪念","永久 Alpha 紀念","ai_draft"
"achievement.alphaMilestones","Alpha achievement section heading","Alpha milestones","Alpha 里程碑","Alpha 里程碑","ai_draft"
"achievement.alphaRetention","Persistent Alpha reward explanation","Alpha Player and Max Alpha Player rewards remain on your account after Alpha.","Alpha 玩家和最高 Alpha 玩家奖励会在 Alpha 阶段结束后继续保留在你的账号中。","Alpha 玩家和最高 Alpha 玩家獎勵會在 Alpha 階段結束後繼續保留在你的帳號中。","ai_draft"
"achievement.milestonesCount","Alpha milestone count","{count} milestones","{count} 个里程碑","{count} 個里程碑","ai_draft"
"achievement.resetNote","Alpha seasonal progression reset notice","Alpha statistics, levels, and all other achievement progress are seasonal test progression. They reset at each major release—Beta and Launch. A persistent progression loop will be introduced in a future iteration.","Alpha 统计、等级和所有其他成就进度均为赛季测试进度。它们会在每次重大版本——Beta 和正式发布——时重置。永久成长循环将在未来版本中推出。","Alpha 統計、等級和所有其他成就進度均為賽季測試進度。它們會在每次重大版本——Beta 和正式發佈——時重設。永久成長循環將在未來版本中推出。","ai_draft"
"achievement.filterLabel","Accessible achievement filter group label","Filter achievements","筛选成就","篩選成就","ai_draft"
"achievement.filterAll","Show all achievements filter","All","全部","全部","ai_draft"
"achievement.inProgressTitle","In-progress achievement filter","In Progress","进行中","進行中","ai_draft"
"achievement.lockedTitle","Locked achievement filter","Locked","未解锁","未解鎖","ai_draft"
"achievement.noFilterMatches","Empty filtered achievement list","No achievements match this filter.","没有符合此筛选条件的成就。","沒有符合此篩選條件的成就。","ai_draft"
"achievement.availableNow","Available achievements heading","Available now","现已开放","現已開放","ai_draft"
"achievement.goalsCount","Achievement goal count","{count} goals","{count} 个目标","{count} 個目標","ai_draft"
"achievement.progressUnavailable","Missing achievement progress message","Achievement progress is unavailable right now.","成就进度目前不可用。","成就進度目前無法使用。","ai_draft"
"achievement.comingLater","Future achievements heading","Coming later","即将推出","即將推出","ai_draft"
"achievement.fullSetNote","Future achievement visibility explanation","Visible now so the full launch set stays clear.","现在提前显示，以便清楚了解完整的首发成就。","現在提前顯示，以便清楚了解完整的首發成就。","ai_draft"
"achievement.retry","Retry achievement loading","Retry achievements","重试加载成就","重試載入成就","ai_draft"
"achievement.loading","Achievement loading status","Loading your achievements…","正在加载你的成就…","正在載入你的成就…","ai_draft"
"statistics.label","Statistics loading screen category","Statistics","统计","統計","ai_draft"
"statistics.playerRecord","Match history category","Player record","玩家记录","玩家紀錄","ai_draft"
"statistics.title","Match history screen title","Match History","对局记录","對局紀錄","ai_draft"
"statistics.quickPlay","Statistics loading screen title","Quick Play","快速开始","快速開始","ai_draft"
"statistics.loading","Statistics loading status","Loading your statistics…","正在加载你的统计数据…","正在載入你的統計資料…","ai_draft"
"statistics.empty","Empty match history message","No completed session records are available yet.","目前还没有已完成的对局记录。","目前還沒有已完成的對局紀錄。","ai_draft"
"statistics.resultDraw","Match history result label","Draw","流局","流局","ai_draft"
"statistics.resultWin","Match history result label","Win","获胜","獲勝","ai_draft"
"statistics.resultLoss","Match history result label","Loss","落败","落敗","ai_draft"
"statistics.resultNeutral","Match history uninvolved result label","Neutral","无胜负","無勝負","ai_draft"
"statistics.draw","Match history draw detail","Round ended in a draw","本局以流局结束","本局以流局結束","ai_draft"
"statistics.neutral","Match history uninvolved discard-win detail","Another player won from someone else's discard","另一名玩家利用他人的弃牌胡牌","另一名玩家利用他人的棄牌胡牌","ai_draft"
"statistics.win","Generic match history win","Win","获胜","獲勝","ai_draft"
"statistics.zimoWin","Match history self-draw win","Zimo","自摸","自摸","ai_draft"
"statistics.huWin","Match history discard win","Hu","胡牌","胡牌","ai_draft"
"statistics.winTai","Match history win with score","{kind} · {tai} Tai","{kind} · {tai} 台","{kind} · {tai} 台","ai_draft"
"statistics.opponentZimo","Match history self-draw loss","Opponent won by Zimo","对手自摸获胜","對手自摸獲勝","ai_draft"
"statistics.opponentWon","Generic match history loss","Opponent won","对手获胜","對手獲勝","ai_draft"
"statistics.completed","Match history missing-time fallback","Completed","已完成","已完成","ai_draft"
"store.comingSoon","Store placeholder title","Coming soon","即将推出","即將推出","ai_draft"
"store.placeholder","Store placeholder description","Cosmetics and Tael purchases will be added later.","外观物品与两的购买功能将在之后加入。","外觀物品與兩的購買功能將在之後加入。","ai_draft"
"game.fullscreenHelp","iPhone fullscreen fallback guidance","For full screen on iPhone: Share → Add to Home Screen","在 iPhone 上进入全屏：共享 → 添加到主屏幕","在 iPhone 上進入全螢幕：分享 → 加入主畫面","ai_draft"
"game.enterFullscreen","Accessible fullscreen action","Enter full screen","进入全屏","進入全螢幕","ai_draft"
"game.fullscreen","Fullscreen action","Full screen","全屏","全螢幕","ai_draft"
"game.controlRestored","Player control restoration notice","Control restored — it's you again.","操作权已恢复——现在由你继续。","操作權已恢復——現在由你繼續。","ai_draft"
"game.leaveMatch","Leave active match action","Leave match","离开对局","離開對局","ai_draft"
"game.player","Generic video-seat player label","Player","玩家","玩家","ai_draft"
"game.resuming","Match resume preparation status","Resuming your match…","正在恢复你的对局…","正在恢復你的對局…","ai_draft"
"game.preparingPracticeAgain","Practice replay preparation status","Preparing another Practice hand…","正在准备另一局练习…","正在準備另一局練習…","ai_draft"
"game.preparingPractice","Practice match preparation status","Preparing your Practice hand…","正在准备你的练习对局…","正在準備你的練習對局…","ai_draft"
"game.reconnectingAttempt","Match runtime reconnect progress","Reconnecting… (attempt {attempt}/{maximum})","正在重新连接…（第 {attempt}/{maximum} 次）","正在重新連線…（第 {attempt}/{maximum} 次）","ai_draft"
"game.joiningTable","Match table join status","Joining the table…","正在加入牌桌…","正在加入牌桌…","ai_draft"
"game.reconnectingStalled","Stalled table state explanation","Reconnecting to the table… showing the last state we received.","正在重新连接牌桌…当前显示最后收到的状态。","正在重新連線牌桌…目前顯示最後收到的狀態。","ai_draft"
"game.retryPractice","Retry Practice connection action","Retry Practice","重试练习","重試練習","ai_draft"
"game.reconnect","Reconnect match action","Reconnect","重新连接","重新連線","ai_draft"
"progression.retry","Retry progression loading","Retry progress","重试加载进度","重試載入進度","ai_draft"
"common.dismiss","Dismiss message action","Dismiss","关闭","關閉","ai_draft"
"auth.signInFailed","Fatal sign-in error heading","Sign-in failed","登录失败","登入失敗","ai_draft"
"lobby.connectionFailed","Fatal lobby connection error heading","Lobby connection failed","大厅连接失败","大廳連線失敗","ai_draft"
"video.title","Video chat action and accessible region name","Video chat","视频聊天","視訊聊天","ai_draft"
"video.connecting","Video peer connection status","Connecting…","正在连接…","連線中…","ai_draft"
"video.startingCamera","Local camera startup status","Starting camera…","正在启动摄像头…","正在啟動攝影機…","ai_draft"
"video.ringing","Remote video call ringing state","Ringing…","正在呼叫…","正在呼叫…","ai_draft"
"video.muteMicrophone","Mute microphone action","Mute microphone","关闭麦克风","關閉麥克風","ai_draft"
"video.unmuteMicrophone","Unmute microphone action","Unmute microphone","开启麦克风","開啟麥克風","ai_draft"
"video.mute","Short mute tooltip","Mute","静音","靜音","ai_draft"
"video.unmute","Short unmute tooltip","Unmute","取消静音","取消靜音","ai_draft"
"video.cameraOff","Turn camera off action","Turn camera off","关闭摄像头","關閉攝影機","ai_draft"
"video.cameraOn","Turn camera on action","Turn camera on","开启摄像头","開啟攝影機","ai_draft"
"video.cameraOffShort","Short camera-off tooltip","Camera off","关闭摄像头","關閉攝影機","ai_draft"
"video.cameraOnShort","Short camera-on tooltip","Camera on","开启摄像头","開啟攝影機","ai_draft"
"video.leave","Leave video chat action","Leave video chat","离开视频聊天","離開視訊聊天","ai_draft"
"video.error","Generic video chat error","Video chat error.","视频聊天出错。","視訊聊天發生錯誤。","ai_draft"
"rotation.title","Full-rotation mode title","Full Rotation","完整轮庄","完整輪莊","ai_draft"
"rotation.caption","Accessible rotation standings table caption","Table points for each player. Points may be negative and are not Jade.","每位玩家的牌桌积分。积分可以为负数，且并非玉。","每位玩家的牌桌積分。積分可以為負數，且並非玉。","ai_draft"
"rotation.player","Rotation standings player column","Player","玩家","玩家","ai_draft"
"rotation.seat","Rotation standings seat column","Seat","座位","座位","ai_draft"
"rotation.tablePoints","Rotation standings table-points column","Table points","牌桌积分","牌桌積分","ai_draft"
"rotation.you","Current player marker in standings","(you)","（你）","（你）","ai_draft"
"rotation.dealing","Current dealer marker in standings","dealing","正在坐庄","正在坐莊","ai_draft"
"rotation.footnote","Rotation points and currency explanation","Table points decide the ranking. Full Rotation stakes no Jade.","牌桌积分决定排名。完整轮庄模式不押注玉。","牌桌積分決定排名。完整輪莊模式不押注玉。","ai_draft"
"rotation.nextHand","Inter-hand countdown","Next hand in {seconds}s","下一局将在 {seconds} 秒后开始","下一局將在 {seconds} 秒後開始","ai_draft"
"rotation.dealingNext","Next rotation hand startup","Dealing the next hand…","正在发下一局牌…","正在發下一局牌…","ai_draft"
"rotation.finalStandings","Completed rotation standings heading","Final standings","最终排名","最終排名","ai_draft"
"rotation.placementXp","Rotation placement experience award","Placement XP: +{xp}","排名经验值：+{xp}","排名經驗值：+{xp}","ai_draft"
"xp.progress","Post-hand progression heading","Progress","进度","進度","ai_draft"
"xp.none","No post-hand experience award","No XP from this hand","本局未获得经验值","本局未獲得經驗值","ai_draft"
"xp.maximumLevelReached","Post-hand maximum progression state","Maximum level reached","已达到最高等级","已達到最高等級","ai_draft"
"xp.practiceCap","Practice progression-neutral explanation","Solo Practice is progression-neutral. Levels and achievements are earned through Online Play.","单人练习不会影响成长进度。等级和成就需通过在线对局获得。","單人練習不會影響成長進度。等級和成就須透過線上對局獲得。","ai_draft"
"xp.toLevel","Post-hand XP required for next level","{current} / {needed} XP to level {level}","升级到等级 {level}：{current} / {needed} 经验值","升級到等級 {level}：{current} / {needed} 經驗值","ai_draft"
"xp.nextReward","Next progression reward description","Next reward: {name} {kind} at level {level}","下一项奖励：等级 {level} 的{name}{kind}","下一項獎勵：等級 {level} 的{name}{kind}","ai_draft"
"xp.kindTitle","Lowercase reward kind in sentence","title","称号","稱號","ai_draft"
"xp.kindTableTheme","Lowercase reward kind in sentence","table theme","牌桌主题","牌桌主題","ai_draft"
"xp.kindTileSkin","Lowercase reward kind in sentence","tile skin","麻将牌外观","麻將牌外觀","ai_draft"
"xp.kindAvatarFrame","Lowercase reward kind in sentence","avatar frame","头像框","頭像框","ai_draft"
"result.winningReveal","Accessible winning-hand reveal status","Winning hand revealed","已展示获胜手牌","已展示獲勝手牌","ai_draft"
"result.friendSendError","Fallback friend request error on result screen","The friend request could not be sent. Please retry.","无法发送好友请求。请重试。","無法傳送好友邀請。請重試。","ai_draft"
"result.players","Result-screen players category","Players","玩家","玩家","ai_draft"
"result.addFriends","Post-hand friend action heading","Add friends from this hand","添加本局玩家为好友","新增本局玩家為好友","ai_draft"
"result.opponent","Singular opponent count","{count} opponent","{count} 名对手","{count} 名對手","ai_draft"
"result.opponents","Plural opponent count","{count} opponents","{count} 名对手","{count} 名對手","ai_draft"
"result.friendIntro","Post-hand friend action explanation","Send a request while this table is still fresh. Your next match will still use a new queue.","趁这局记忆犹新时发送请求。下一场对局仍会重新排队。","趁這局記憶猶新時傳送邀請。下一場對局仍會重新排隊。","ai_draft"
"result.checkingFriends","Friend relationship loading status","Checking friend status…","正在检查好友状态…","正在檢查好友狀態…","ai_draft"
"result.noOpponents","No eligible opponents on result screen","No eligible opponents were found for this hand.","本局未找到可添加的对手。","本局未找到可新增的對手。","ai_draft"
"result.friends","Existing post-hand friend relationship","Friends","好友","好友","ai_draft"
"result.requestSent","Post-hand outgoing friend request status","Request sent","请求已发送","邀請已傳送","ai_draft"
"result.requestReceived","Post-hand incoming friend request status","Request received","已收到请求","已收到邀請","ai_draft"
"result.addFriendLabel","Accessible post-hand add-friend action","Add {player} as a friend","添加 {player} 为好友","新增 {player} 為好友","ai_draft"
"result.sending","Friend request send progress","Sending…","正在发送…","正在傳送…","ai_draft"
"result.addFriend","Post-hand add-friend action","Add Friend","添加好友","新增好友","ai_draft"
"result.youSeat","Current player's seat label","You ({wind})","你（{wind}）","你（{wind}）","ai_draft"
"result.walletSynced","Wallet settlement sync success","Settlement posted · AGS Wallet synced","结算已提交 · AGS 钱包已同步","結算已提交 · AGS 錢包已同步","ai_draft"
"result.walletQueued","Wallet settlement queued state","Settlement posted · AGS Wallet queued","结算已提交 · AGS 钱包已排队","結算已提交 · AGS 錢包已排入佇列","ai_draft"
"result.walletSyncing","Wallet settlement syncing state","Settlement posted · AGS Wallet syncing","结算已提交 · AGS 钱包正在同步","結算已提交 · AGS 錢包正在同步","ai_draft"
"result.walletServiceAttention","Wallet service authorization sync error","Settlement posted · Wallet sync needs service attention; your Jade is safe","结算已提交 · 钱包同步需要服务处理；你的玉是安全的","結算已提交 · 錢包同步需要服務處理；你的玉是安全的","ai_draft"
"result.walletDelayed","Retryable wallet sync delay","Settlement posted · Wallet sync delayed; retrying automatically","结算已提交 · 钱包同步延迟；正在自动重试","結算已提交 · 錢包同步延遲；正在自動重試","ai_draft"
"result.walletUnavailable","Unknown wallet sync state","Settlement posted · Wallet status unavailable","结算已提交 · 钱包状态不可用","結算已提交 · 無法取得錢包狀態","ai_draft"
"result.selfDraw","Self-draw win type English label","Self-Draw","自摸","自摸","ai_draft"
"result.robbingKong","Robbing-the-Kong win type English label","Robbing the Kong","抢杠胡","搶槓胡","ai_draft"
"result.eightFlowers","Eight Flowers win type English label","Eight Flowers Win","八仙过海","八仙過海","ai_draft"
"result.heavenlyHand","Heavenly Hand win type English label","Heavenly Hand","天胡","天胡","ai_draft"
"result.exhaustiveDraw","Exhaustive draw result type English label","Exhaustive Draw","流局","流局","ai_draft"
"result.discardRelationship","Accessible discard-win relationship","{payer} discarded the winning tile to {winners}","{payer} 打出的牌让 {winners} 胡牌","{payer} 打出的牌讓 {winners} 胡牌","ai_draft"
"result.discardedWinningTile","Discard-win relationship arrow","discarded winning tile","打出胡牌张","打出胡牌張","ai_draft"
"result.to","Discard-win relationship arrow","to","给","給","ai_draft"
"result.drewWinningTileLabel","Accessible self-draw relationship","{winners} drew the winning tile","{winners} 自摸胡牌","{winners} 自摸胡牌","ai_draft"
"result.drewWinningTile","Self-draw relationship description","drew the winning tile themselves","自行摸到胡牌张","自行摸到胡牌張","ai_draft"
"result.winningTile","Winning tile label","Winning tile","胡牌张","胡牌張","ai_draft"
"result.whatIsThis","Open scoring pattern explanation","What is this?","这是什么？","這是什麼？","ai_draft"
"result.each","Per-instance scoring pattern suffix","each","每组","每組","ai_draft"
"result.worthMore","Scoring pattern upgrade label","Worth more","更高台数","更高台數","ai_draft"
"result.tradeOff","Scoring pattern cost label","The trade-off","取舍","取捨","ai_draft"
"result.winningHand","Winning hand heading","Winning hand","获胜手牌","獲勝手牌","ai_draft"
"result.rawScore","Raw Tai score label","Raw score","原始台数","原始台數","ai_draft"
"result.rawScoreLabel","Accessible raw Tai score","{tai} raw Tai","原始台数 {tai} 台","原始台數 {tai} 台","ai_draft"
"result.decomposition","Accessible winning hand decomposition","Winning hand decomposition","获胜手牌组合","獲勝手牌組合","ai_draft"
"result.scoringDetails","Scoring explanation toggle","Scoring details","计分详情","計分詳情","ai_draft"
"result.scoringPatterns","Accessible scoring pattern list","Scoring patterns","计分牌型","計分牌型","ai_draft"
"result.rawSubtotal","Raw Tai subtotal label","Raw subtotal","原始小计","原始小計","ai_draft"
"result.jadePerTai","Settlement payment calculation","{stake} Jade per 台 × {tai} 台 = {amount} Jade","每台 {stake} 玉 × {tai} 台 = {amount} 玉","每台 {stake} 玉 × {tai} 台 = {amount} 玉","ai_draft"
"result.rawPayment","Practice or unstaked raw payment","Raw payment: {amount} {unit}","原始支付：{amount} {unit}","原始支付：{amount} {unit}","ai_draft"
"result.debitCap","Debit cap applied to settlement transfer","Debit cap applied: {raw} → {amount} {unit}","已应用扣款上限：{raw} → {amount} {unit}","已套用扣款上限：{raw} → {amount} {unit}","ai_draft"
"result.practicePoints","Non-persistent Practice scoring unit","Practice points","练习积分","練習積分","ai_draft"
"result.settlement","Settlement result category","Settlement","结算","結算","ai_draft"
"result.practiceScore","Practice settlement heading","Practice score only","仅练习计分","僅練習計分","ai_draft"
"result.jadeMoved","Staked settlement heading","Jade moved between players","玉已在玩家之间转移","玉已在玩家之間轉移","ai_draft"
"result.balanced","Balanced settlement status","Balances to zero","收支平衡","收支平衡","ai_draft"
"result.reviewRequired","Unbalanced settlement warning","Review required","需要检查","需要檢查","ai_draft"
"result.tableStake","Table stake summary","Table stake: {stake} Jade per 台","牌桌押注：每台 {stake} 玉","牌桌押注：每台 {stake} 玉","ai_draft"
"result.debitCapValue","Table debit cap summary","Debit cap: {cap} Jade","扣款上限：{cap} 玉","扣款上限：{cap} 玉","ai_draft"
"result.noPracticeChange","No Practice-points transfer","No Practice points changed.","练习积分没有变化。","練習積分沒有變化。","ai_draft"
"result.noJadeChange","No Jade transfer","No Jade changed hands.","没有玉发生转移。","沒有玉發生轉移。","ai_draft"
"result.netChangesLabel","Accessible settlement net changes","Net {unit} changes","{unit}净变化","{unit}淨變化","ai_draft"
"result.netChange","Settlement net-change heading","Net change","净变化","淨變化","ai_draft"
"result.practiceReconciled","Balanced Practice settlement explanation","{paid} Practice points paid = {received} received. Practice points do not persist.","支付 {paid} 练习积分 = 收到 {received}。练习积分不会保存。","支付 {paid} 練習積分 = 收到 {received}。練習積分不會保存。","ai_draft"
"result.jadeReconciled","Balanced Jade settlement explanation","{paid} Jade paid = {received} received. No Jade was created or removed.","支付 {paid} 玉 = 收到 {received} 玉。没有新增或移除任何玉。","支付 {paid} 玉 = 收到 {received} 玉。沒有新增或移除任何玉。","ai_draft"
"result.unbalanced","Unbalanced settlement explanation","{paid} paid does not match {received} received. This settlement needs review.","支付的 {paid} 与收到的 {received} 不一致。此结算需要检查。","支付的 {paid} 與收到的 {received} 不一致。此結算需要檢查。","ai_draft"
"result.milestone","Achievement unlock category","Milestone reached","达成里程碑","達成里程碑","ai_draft"
"result.achievementUnlocked","Singular post-hand achievement heading","Achievement unlocked","已解锁成就","已解鎖成就","ai_draft"
"result.achievementsUnlocked","Plural post-hand achievement heading","Achievements unlocked","已解锁成就","已解鎖成就","ai_draft"
"result.completedPublic","Achievement unlock eligibility note","Completed on this public hand","在本次公开对局中完成","在本次公開對局中完成","ai_draft"
"result.screenLabel","Accessible hand result region","Hand result","本局结果","本局結果","ai_draft"
"result.practiceResult","Practice result notice heading","Practice result","练习结果","練習結果","ai_draft"
"result.practiceNote","Practice result progression note","No Jade, rating, level, or achievement progress changed.","玉、评分、等级和成就进度均未变化。","玉、評分、等級和成就進度均未變化。","ai_draft"
"result.hand","Scoring result category","Hand","手牌","手牌","ai_draft"
"result.scoringBreakdown","Scoring breakdown heading before the Tai unit","Scoring Breakdown","计分明细","計分明細","ai_draft"
"result.noWinner","Draw result explanation","No winner this hand.","本局无人胡牌。","本局無人胡牌。","ai_draft"
"result.dealerTai","Dealer Tai bonus","Dealer Tai: +{tai}","庄家台：+{tai}","莊家台：+{tai}","ai_draft"
"result.dealerTaiApplied","Dealer Tai bonus explanation","Applied when {dealer} is the winner or payer.","当 {dealer} 为获胜者或付款者时适用。","當 {dealer} 為獲勝者或付款者時適用。","ai_draft"
"result.yourBalance","Player Jade balance category","Your balance","你的余额","你的餘額","ai_draft"
"result.receivedJade","Positive Jade settlement delta","You received {amount} Jade","你收到了 {amount} 玉","你收到了 {amount} 玉","ai_draft"
"result.paidJade","Negative Jade settlement delta","You paid {amount} Jade","你支付了 {amount} 玉","你支付了 {amount} 玉","ai_draft"
"result.yourJadeUnchanged","Zero Jade settlement delta","Your Jade did not change","你的玉没有变化","你的玉沒有變化","ai_draft"
"result.balanceChangedLabel","Accessible Jade balance equation","Balance changed from {before} to {after} Jade","玉余额从 {before} 变为 {after}","玉餘額從 {before} 變為 {after}","ai_draft"
"result.before","Balance before settlement","Before","之前","之前","ai_draft"
"result.change","Balance settlement change","Change","变化","變化","ai_draft"
